rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
68,"spotify:track:7AdGloF1UHKe1vAZPbqIXH","BLACKPINK","The Happiest Girl","YG Entertainment/Interscope Records",15,49,7,"1468492"
69,"spotify:track:5uSFGgIfHMT3osrAd9n9ym","Lewis Capaldi","Forget Me","Vertigo Berlin",46,57,14,"1433889"
70,"spotify:track:1797zYiX4cKosMH836X9Gt","Bad Bunny, Tony Dize","La Corriente","Rimas Entertainment LLC",12,69,140,"1431205"
71,"spotify:track:1Fid2jjqsHViMX6xNH70hE","Seafret","Atlantis","Sweet Jane Recordings",59,71,66,"1413599"
72,"spotify:track:09mEdoA6zrmBPgTEN5qXmN","The Weeknd","Call Out My Name","Universal Republic Records",1,70,337,"1410793"
73,"spotify:track:27ZZdyTSQWI7Cug2d2PkqV","Armani White","BILLIE EILISH.","Legendbound, LLC / Def Jam Recordings",65,75,30,"1404438"
74,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",4,76,378,"1391166"
75,"spotify:track:7ef4DlsgrMEH11cDZd32M6","Calvin Harris, Dua Lipa","One Kiss (with Dua Lipa)","Sony Music UK",1,78,629,"1379707"
76,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",9,73,278,"1355709"
77,"spotify:track:3sNVsP50132BTNlImLx70i","Kanye West","Bound 2","Rock The World/IDJ/Kanye/LP6",69,74,24,"1345646"
78,"spotify:track:0HYAsQwJIO6FLqpyTeD3l6","Fujii Kaze","死ぬのがいいわ","Universal Music LLC",72,79,19,"1341490"
79,"spotify:track:7DbdUf8aHSYoliSjO6LZv6","Beach Weather","Sex, Drugs, Etc.","8123 / Arista Records",66,77,40,"1340912"
80,"spotify:track:37y7iDayfwm3WXn5BiAoRk","Steve Lacy","Dark Red","Three Quarter",58,81,403,"1333147"
81,"spotify:track:3fjN3y5x4hN53rykAN2LHQ","Rels B","cómo dormiste?","Flakk Team / DALE PLAY Records",22,80,49,"1323744"
82,"spotify:track:0bYVPJvXr8ACmw313cVvhB","BLACKPINK","Tally","YG Entertainment/Interscope Records",17,68,7,"1321318"
83,"spotify:track:3CIyK1V4JEJkg02E4EJnDl","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",3,86,329,"1302712"
84,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",4,85,1040,"1302391"
85,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",5,82,147,"1300160"
86,"spotify:track:5QO79kh1waicV47BqGRL3g","The Weeknd","Save Your Tears","Republic Records",2,84,658,"1293198"
87,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",2,87,427,"1291676"
88,"spotify:track:5y4WmuvFX1t3NdSId0MFOh","BLACKPINK","Yeah Yeah Yeah","YG Entertainment/Interscope Records",14,72,7,"1286593"
89,"spotify:track:4RVwu0g32PAqgUiJoXsdF8","Billie Eilish","Happier Than Ever","Darkroom/Interscope Records",6,88,420,"1270153"
90,"spotify:track:5CZ40GBx1sQ9agT82CLQCT","Olivia Rodrigo","traitor","Olivia Rodrigo PS",7,89,490,"1264857"
91,"spotify:track:5QM0SsyzmBM0pbFY52Xj1X","Sam Smith","I'm Not The Only One","Capitol",80,94,66,"1259242"
92,"spotify:track:2gYj9lubBorOPIVWsTXugG","IVE","After LIKE","Starship Entertainment",23,83,32,"1255683"
93,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",19,95,1611,"1253688"
94,"spotify:track:0xzI1KAr0Yd9tv8jlIk3sn","benny blanco, BTS, Snoop Dogg","Bad Decisions (with BTS & Snoop Dogg)","Friends Keep Secrets/Interscope Records",7,104,49,"1251776"
95,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",68,93,80,"1238015"
96,"spotify:track:0wHFktze2PHC5jDt3B17DC","Jack Harlow","First Class","Generation Now/Atlantic",1,97,168,"1235266"
97,"spotify:track:6VBhH7CyP56BXjp8VsDFPZ","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")","Sony Music Entertainment India Pvt. Ltd.",24,90,68,"1230844"
98,"spotify:track:5pyoxDZ1PX0KxBxiRVxA4U","Beyoncé","BREAK MY SOUL","Parkwood Entertainment/Columbia",5,96,94,"1228793"
99,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",4,101,1351,"1210303"
100,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",5,98,437,"1205470"
101,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",93,100,18,"1205108"
102,"spotify:track:1FEiijYPJtyswChfcpv3p0","Lana Del Rey","Summertime Sadness","Polydor Records",85,92,61,"1203078"
103,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",16,99,585,"1192397"
104,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",3,105,364,"1190665"
105,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",29,103,360,"1181391"
106,"spotify:track:6DoL1yYIwEW7VZMRaJhoJI","Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow","La Llevo Al Cielo (Ft. Ñengo Flow)","UMLE - Latino",50,108,126,"1180466"
107,"spotify:track:3PpWCS95gDUDRPko3u1MZ9","Feid","Prohibidox","UMLE - Latino",83,102,9,"1174684"
108,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",83,107,44,"1174394"
109,"spotify:track:3AVrVz5rK8Hrqo9YGiVGN5","Cigarettes After Sex","Apocalypse","PTKF",94,106,77,"1169866"
110,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",3,110,455,"1165717"
111,"spotify:track:1Wwh6gmMeolwzbRzfZMY5b","BLACKPINK","Ready For Love","YG Entertainment/Interscope Records",25,91,7,"1161123"
112,"spotify:track:1dm6z1fWB0cErMszU25dy2","Bad Bunny","Después de la Playa","Rimas Entertainment LLC",3,109,140,"1157856"
113,"spotify:track:5wANPM4fQCJwkGd4rN57mH","Olivia Rodrigo","drivers license","Olivia Rodrigo PS",1,111,623,"1154264"
114,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,114,344,"1150159"
115,"spotify:track:5nujrmhLynf4yMoMtj8AQF","Dua Lipa, DaBaby","Levitating (feat. DaBaby)","Warner Records",4,117,721,"1144660"
116,"spotify:track:0kqTXMHiQiB7IECD0WwcPq","TWICE","Talk that Talk","Republic Records - TWICE",49,113,28,"1135215"
117,"spotify:track:3rq5w4bQGigXOfdN30ATJt","Arctic Monkeys","Do I Wanna Know?","Domino Recording Co",91,112,382,"1133139"
118,"spotify:track:1O2pcBJGej0pmH2Y9XZMs6","Cris Mj","Una Noche en Medellín","Nabru Records LLC",6,118,214,"1127928"
119,"spotify:track:4gzsuuZypVbxs0Af1LSZyB","Tainy, Bad Bunny, Julieta Venegas","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Neon16",7,126,353,"1125709"
120,"spotify:track:4OmfWzukSVD140NiAIEjem","Steve Lacy","Static","L-M Records/RCA Records",109,125,16,"1123078"
121,"spotify:track:6mmPpaltUZK7xjNlBPQQ0p","Rauw Alejandro, Chencho Corleone","Desesperados","Sony Music Latin/Duars Entertainment",8,119,283,"1121513"
122,"spotify:track:2TktkzfozZifbQhXjT6I33","Omar Apollo","Evergreen (You Didn’t Deserve Me At All)","Warner Records",122,122,4,"1117737"
123,"spotify:track:4SqWKzw0CbA05TGszDgMlc","The Walters","I Love You So","Warner Records",18,115,347,"1114016"
124,"spotify:track:62ke5zFUJN6RvtXZgVH0F8","Paloma Faith","Only Love Can Hurt Like This","RCA Records Label",83,120,120,"1105612"
125,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",76,116,40,"1103152"
126,"spotify:track:0JzG1wJuB4v9UPkSE7LMXi","Montell Fish","Hotel","Lord’s Child, LLC",90,136,7,"1100903"
127,"spotify:track:6HU7h9RYOaPRFeh0R3UeAr","Olivia Rodrigo","deja vu","Olivia Rodrigo PS",3,121,538,"1097658"
128,"spotify:track:7fBv7CLKzipRk6EC6TWHOB","The Weeknd","The Hills","Universal Republic Records",24,124,393,"1095488"
129,"spotify:track:6VrQTLzzuyGIYjUDe4kAZk","Bad Bunny","Un Coco","Rimas Entertainment LLC",22,127,140,"1090195"
130,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",17,132,392,"1084617"
131,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",119,123,30,"1083487"
132,"spotify:track:7FlQk2gJ6TBrHHiidvdR2O","Becky G, KAROL G","MAMIII","Kemosabe Records/RCA Records",5,129,224,"1079390"
133,"spotify:track:0pqnGHJpmpxLKifKRmU6WP","Imagine Dragons","Believer","Kid Ina Korner / Interscope",15,135,2054,"1073971"
134,"spotify:track:68Dni7IE4VyPkTOH9mRWHr","J. Cole","No Role Modelz","Roc Nation Records LLC",69,131,444,"1072455"
135,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",1,134,497,"1070252"
136,"spotify:track:5gDWsRxpJ2lZAffh5p7K0w","The Weeknd, Lana Del Rey","Stargirl Interlude","Universal Republic Records",125,137,67,"1058115"
137,"spotify:track:4cacyP5c3PMlfnyjpg13xW","Yung Gravy","Betty (Get Money)","Republic Records",64,144,79,"1055066"
138,"spotify:track:0zCgWGmDF0aih5qexATyBn","Mr.Kitty","After Dark","Negative Gain Productions",97,133,156,"1054568"
139,"spotify:track:2J2Z1SkXYghSajLibnQHOa","Sia","Unstoppable","Monkey Puzzle Records/RCA Records",102,140,221,"1051815"
140,"spotify:track:5CzixCxDkRXX9mScCmah8O","Bad Bunny","Un Ratito","Rimas Entertainment LLC",7,138,140,"1049148"
141,"spotify:track:3yfqSUWxFvZELEM4PmlwIR","Eminem","The Real Slim Shady","Interscope",36,139,478,"1044960"
142,"spotify:track:5O2P9iiztwhomNh8xkR9lJ","One Direction","Night Changes","Syco Music",86,130,120,"1043611"
143,"spotify:track:1u8c2t2Cy7UBoG4ArRcF5g","Taylor Swift","Blank Space","Big Machine Records, LLC",104,128,329,"1038086"
144,"spotify:track:4RvWPyQ5RL0ao9LPZeSouE","Tears For Fears","Everybody Wants To Rule The World","UMC (Universal Music Catalogue)",95,141,115,"1031259"
